_id,SL No.,Platform,Bus Route,Starting From,Destination,VIA,Image_Directory
343,343,26-A,347-HD,Kempegowda Bus Stand,DEVENDRA NAGAR (CHIKKATHOGURU),"MADIWALA, BOMMANAHALLI, HOSA ROAD, CHIKKATHOGURU",/Transport_Pics/18.jpg
344,344,26-A,347-E,Kempegowda Bus Stand,SOMASUNDARAPALYA,"MADIWALA, BOMMANAHALLI, KUDLUGATE",/Transport_Pics/19.jpg
345,345,26-A,347-L,Kempegowda Bus Stand,HOSAPALYA,"MADIWALA, BOMMANAHALLI, KUDLUGATE, SOMASUNDARAPALYA",/Transport_Pics/20.jpg
346,346,26-A,348,Kempegowda Bus Stand,MANGAMMANA PALYA,"MADIWALA, SI APARTMENT",/Transport_Pics/21.jpg
347,347,26-B,351-A,Kempegowda Bus Stand,NARAYANAGHATTA,"MADIWALA, HEBBAGODI, CHANDAPURA, RAMASANDRA",/Transport_Pics/22.jpg
348,348,26-B,351-J,Kempegowda Bus Stand,HANDENAHALLI,"MADIWALA, HEBBAGODI, CHANDAPURA, RAMASANDRA, MUTTA NELLORU",/Transport_Pics/23.jpg
349,349,26-B,352-A,Kempegowda Bus Stand,HENNAGARA,"MADIWALA, HEBBAGODI, KITHAGANUR",/Transport_Pics/24.jpg
350,350,26-B,352-B,Kempegowda Bus Stand,MASTENAHALLI,"MADIWALA, HEBBAGODI, HENNAGARA",/Transport_Pics/25.jpg
351,351,26-B,353-C,Kempegowda Bus Stand,JIGANI,"MADIWALA, HEBBAGODI, HINMAKKI, SHITANAYAKANAHALLI, MADAPATTANA",/Transport_Pics/1.jpg
352,352,26-B,354-B,Kempegowda Bus Stand,SHETTIHALLI,"LALBAGH, MADIWALA, HEBBAGODI, CHANDAPURA, HIGGALURU",/Transport_Pics/2.jpg
353,353,26-B,354-C,Kempegowda Bus Stand,MARASUR,"MADIWALA, HEBBAGODI, CHANDAPURA, HIGGALURU",/Transport_Pics/3.jpg
354,354,26-B,355-A,Kempegowda Bus Stand,SRIRAMPURA,"MADIWALA, HEBBAGODI, ARMADALLI",/Transport_Pics/4.jpg
355,355,26-B,355-E,Kempegowda Bus Stand,BANDENALLASANDRA,"MADIWALA, HEBBAGODI, BIOCON FACTORY, KYALASANAHALLI",/Transport_Pics/5.jpg
356,356,26-C,356-A,Kempegowda Bus Stand,THATTNAHALLI,"MADIWALA, HEBBAGODI, CHANDAPURA, HIGGALURU",/Transport_Pics/6.jpg
357,357,26-C,356-D,Kempegowda Bus Stand,SAMPIGENAGAR,"MADIWALA, KUDLUGATE, HUSKUR GATE",/Transport_Pics/7.jpg
358,358,26-C,356-H,Kempegowda Bus Stand,SURYANAGAR (CHANDAPUR),"MADIWALA, HEBBAGODI, CHANDAPURA",/Transport_Pics/8.jpg
359,359,26-C,356-M,Kempegowda Bus Stand,ANEKAL,"MADIWALA, HEBBAGODI, CHANDAPURA, JGGALURU, TARAPUR GATE",/Transport_Pics/9.jpg
360,360,26-C,356-CB,Kempegowda Bus Stand,ELECTRONIC CITY 2ND STAGE,"MADIWALA, KONAPPANA AGRAHARA",/Transport_Pics/10.jpg
361,361,26-C,358-A,Kempegowda Bus Stand,SAMANDURU,"MADIWALA, HEBBAGODI, CHANDAPURA, GUTTADAHATTI CROSS, KAMBLIPURA TEMPLE",/Transport_Pics/11.jpg
362,362,26-C,360-B,Kempegowda Bus Stand,ATTIBELE,"MADIWALA, HEBBAGODI, CHANDAPURA",/Transport_Pics/12.jpg
363,363,26-C,360-J,Kempegowda Bus Stand,ATTIBELE,"LALBAGH, MADIWALA, HEBBAGODI, CHANDAPURA",/Transport_Pics/13.jpg
364,364,27,365,Kempegowda Bus Stand,BANNERGHATTA NATIONAL PARK,"BANGALORE DAIRY, GOTTIGERE, KALKERE",/Transport_Pics/14.jpg
365,365,27,365-C,Kempegowda Bus Stand,KOPPA,"BANGALORE DAIRY, BILEKANAHALLI, BASAVANAPURA, KOPPA GATE",/Transport_Pics/15.jpg
366,366,27,365-D,Kempegowda Bus Stand,BILVARADAHALLI,"BANGALORE DAIRY, GOTTIGERE, BASAVANAPURA",/Transport_Pics/16.jpg
367,367,27,365-E,Kempegowda Bus Stand,SHANUBHOGANAHALLI,"BANGALORE DAIRY, GOTTIGERE, BILAVARADAHALLI",/Transport_Pics/17.jpg
368,368,27,365-F,Kempegowda Bus Stand,NOSENURU,"BANGALORE DIARY, GOTTIGERE, KOPPA GATE, JIGANI, HARAGADDE",/Transport_Pics/18.jpg
369,369,27,365-J,Kempegowda Bus Stand,JIGANI,"BANGALORE DIARY, GOTTIGERE, BANNERGHATTA CIRCLE, KOPPA GATE",/Transport_Pics/19.jpg
370,370,27,365-N,Kempegowda Bus Stand,GEDDENAHALLI,"BANGALORE DIARY, GOTTIGERE, JIGANI, GOWDANAHALLI",/Transport_Pics/20.jpg
371,371,27,365-P,Kempegowda Bus Stand,ANEKAL,"BANGALORE DIARY, GOTTIGERE, BANNERGHATTA CIRCLE, HARAGADDE",/Transport_Pics/21.jpg
372,372,27-A,369-C,Kempegowda Bus Stand,HULIMAVU,"BANGALORE DIARY, BILEKANAHALLI, HULIMAVU GATE",/Transport_Pics/22.jpg
373,373,27-A,369-D,Kempegowda Bus Stand,SHANTINIKETAN LAYOUT,"BANGALORE DIARY, BILEKANAHALLI, AREKERE GATE",/Transport_Pics/23.jpg
374,374,27-A,369-J,Kempegowda Bus Stand,C.K. PALYA,"BANGALORE DIARY, HULIMAVU GATE, CHIKKAMMANAHALLI",/Transport_Pics/24.jpg
375,375,27-A,365-Q,Kempegowda Bus Stand,DYAVASANDRA,"BANGALORE DIARY, HULIMAVU GATE, JIGANI HARAGADDE",/Transport_Pics/25.jpg
376,376,27-A,365-R,Kempegowda Bus Stand,BASAVANAPURA,"BANGALORE DIARY, HULIMAVU GATE, GOTTIGERE",/Transport_Pics/1.jpg
377,377,27-A,365-W,Kempegowda Bus Stand,VADERA MANCHENAHALLI,"BANGALORE DIARY, HULIMAVU GATE, KALKERE, JIGANI",/Transport_Pics/2.jpg
378,378,27-A,367-F,Kempegowda Bus Stand,PILLAGANAHALLI,"BANGALORE DIARY, HULIMAVU GATE, BASAVANAPURA GATE",/Transport_Pics/3.jpg
379,379,27-A,369-CA,Kempegowda Bus Stand,CHIKKAMMANAHALLI,"BANGALORE DIARY, BILEKANAHALLI, HULIMAVU",/Transport_Pics/4.jpg
380,380,27-A,369-H,Kempegowda Bus Stand,MICO SHRAMAJEEVI COLONY,"BANGALORE DIARY, BILEKANAHALLI, AREKERE GATE",/Transport_Pics/5.jpg
381,381,27-A,369-F,Kempegowda Bus Stand,HOMMADEVANAHALLI,"BANGALORE DIARY, BILEKANAHALLI, CHIKKAMMANAHALLI",/Transport_Pics/6.jpg
382,382,27-A,372-F,Kempegowda Bus Stand,NISARGA BADAVANE,"BANGALORE DIARY, BILEKANAHALLI, KALKERE, KOPPA GATE",/Transport_Pics/7.jpg
383,383,28,304-R,Kempegowda Bus Stand,B.N. BACHE GOWDA BADAVANE,"CORPORATION,HALASURU, K.R. PURAM RAILWAY STATION, CHANNASANDRA, MEDIMALLASANDRA, NARAYANAKERE",/Transport_Pics/8.jpg
384,384,28,304-L,Kempegowda Bus Stand,MEDIMALLASANDRA,"CORPORATION, HALASURU, K.R. PURAM RAILWAY STATION, GARUDACHAR PALYA, HOODI, BODANA HOSAHALLI, DUNNASANDRA",/Transport_Pics/9.jpg
385,385,28,304-X,Kempegowda Bus Stand,AREHALLI,"HALASURU, K.R. PURAM RAILWAY STATION, CHANNASANDRA, DUNNASANDRA",/Transport_Pics/10.jpg
386,386,28,304-J,Kempegowda Bus Stand,KALKUNTE AGRAHARA,"CORPORATION, HALASURU, GARUDACHAR PALYA, HOPE FARM, DUNNASANDRA",/Transport_Pics/11.jpg
387,387,28,304-Z,Kempegowda Bus Stand,CHIKKA THIRUPATHI,"GARUDACHAR PALYA, BODANA HOSAHALLI, KALKUNTE AGRAHARA",/Transport_Pics/12.jpg
388,388,28,305-D,Kempegowda Bus Stand,CHANNASANDRA,"HALASURI, GARUDACHAR PALYA, HOPE FARM",/Transport_Pics/13.jpg
389,389,28,305-S,Kempegowda Bus Stand,SOURYA HOSPITAL,"HALASURU, GARUDACHAR PALYA, CHANNASANDRA, NADUVATTI",/Transport_Pics/14.jpg
390,390,28-A,315-J,Kempegowda Bus Stand,RAMPURA,"HALASURU, K.R. PURAM, AVALAHALLI, BIDARAHALLI, ADURU",/Transport_Pics/15.jpg
391,391,28-A,315-K,Kempegowda Bus Stand,K.R. PURAM,"HALASURU, BENNIGANAHALLI, CHANNASANDRA BRIDGE, RAMURTHY NAGAR",/Transport_Pics/16.jpg
392,392,28-A,315-L,Kempegowda Bus Stand,RAMAMURTHY NAGAR,"HALASURU, BENNIGANAHALLI BRIDGE, RING ROAD",/Transport_Pics/17.jpg
393,393,28-A,315-P,Kempegowda Bus Stand,SHANTI LAYOUT,"HALASURU, BENNIGANAHALLI, RAMURTHY NAGAR, KOWDENAHALLI",/Transport_Pics/18.jpg
394,394,28-A,315-T,Kempegowda Bus Stand,KITHAGANUR,"HALASURU, BENNIGANAHALLI, KOWDENAHALLI, T.C. PALYA",/Transport_Pics/19.jpg
395,395,28-A,315-V,Kempegowda Bus Stand,KADUGODI BALAJI CIRCLE,"HALASURU, K.R. PURAM, SADARAMANGALA, HOODI",/Transport_Pics/20.jpg
396,396,28-B,316-B,Kempegowda Bus Stand,BUDIGERE,"HALASURU, K.R. PURA, AVALAHALLI, BUDIGERE CROSS",/Transport_Pics/21.jpg
397,397,28-B,316-E,Kempegowda Bus Stand,CHEEMASANDRA,"HALASURU, K.R. PURA, AVALAHALLI, CHEEMASANDRA CROSS",/Transport_Pics/22.jpg
398,398,28-B,316-G,Kempegowda Bus Stand,MANDURU,"HALASURU, K.R. PURA, AVALAHALLI, BUDIGERE CROSS",/Transport_Pics/23.jpg
399,399,28-B,316-M,Kempegowda Bus Stand,SINGRAHALLI,"HALASURU, K.R. PURA, BUDIGERE CROSS, BUDIGERE",/Transport_Pics/24.jpg
400,400,28-B,317-A,Kempegowda Bus Stand,HOSAKOTE,"HALASURU, K.R. PURA, BUDIGERE CROSS",/Transport_Pics/25.jpg
401,401,28-B,317-P,Kempegowda Bus Stand,KANNAMANGALA,"HALASURU, K.R. PURA, BUDIGERE CROSS, KAJI SONNENAHALLI",/Transport_Pics/1.jpg
402,402,28-B,317-V,Kempegowda Bus Stand,POOJENA AGRAHARA (NADUVATTI),"HALASURU, K.R.PURA, BUDIGERE CROSS, HOSAKOTE, KODIHALLI, BASAVANAHALLI",/Transport_Pics/2.jpg
403,403,28-B,381,Kempegowda Bus Stand,THIMMASANDRA,"HALASURU, K.R.PURA, BATTARAHALLI, BUDIGERE CROSS, HOSAKOTE",/Transport_Pics/3.jpg
404,404,28-B,381-E,Kempegowda Bus Stand,KAMBIPURA,"HALASURU, K.R.PURA, BATTARAHALLI, BUDIGERE CROSS, HOSAKOTE",/Transport_Pics/4.jpg
405,405,28-B,381-A,Kempegowda Bus Stand,POOJENA AGRAHARA,"HALASURU, K.R.PURA, BATTARAHALLI, BUDIGERE CROSS, HOSAKOTE",/Transport_Pics/5.jpg
406,406,28-B,HK-12,Kempegowda Bus Stand,HOSAKOTE,"HALASURU, K.R.PURA, BATTARAHALLI, BUDIGERE CROSS, HOSAKOTE",/Transport_Pics/6.jpg
407,407,29,319-F,Kempegowda Bus Stand,BATTANDURU AGRAHARA,"HALASURU, GARUDACHAR PALYA, HOODI, AGRAHARA",/Transport_Pics/7.jpg
408,408,29,319-J,Kempegowda Bus Stand,AMBEDKAR NAGAR,"HALASURU, GARUDACHAR PALYA, HOODI, BA AGRAHARA",/Transport_Pics/8.jpg
409,409,29,320-A,Kempegowda Bus Stand,NAGONDANAHALLI,"HALASURU, GARUDACHAR PALYA, HOODI, IMMADIHALLI",/Transport_Pics/9.jpg
410,410,29,321-J,Kempegowda Bus Stand,MUTTUKURU,"HALASURU, GARUDACHAR PALYA, HOODI, NAGANAYAKANAKOTE",/Transport_Pics/10.jpg
411,411,29,322-A,Kempegowda Bus Stand,THATHANUR,"HALASURU, CHANNASANDRA, MATKAGURU, MUTHUGADAHALLI",/Transport_Pics/11.jpg
412,412,29-A,323-AK,Kempegowda Bus Stand,GONIGHATTAPURA,"MARATHAHALLI, VARTHUR, RAMAGONDANAHALLI",/Transport_Pics/12.jpg
413,413,29-A,232-F,Kempegowda Bus Stand,NERIGE,"MARATHAHALLI, VARTHUR, GUNJURU",/Transport_Pics/13.jpg
414,414,29-A,325-A,Kempegowda Bus Stand,HAROHALLI,"MARATHAHALLI, SIDDAPURA, VARTHUR",/Transport_Pics/14.jpg
415,415,29-A,327-A,Kempegowda Bus Stand,DOMMASANDRA,"MARATHAHALLI, VARTHUR, GUNJURU",/Transport_Pics/15.jpg
416,416,29-A,327-G,Kempegowda Bus Stand,KUGUR,"MARATHAHALLI, SIDDAPURA, VARTHUR, NERIGE",/Transport_Pics/16.jpg
417,417,29-A,327-K,Kempegowda Bus Stand,SARJAPURA,"MARATHAHALLI, KADUBISANAHALLI, KANNALI, KODATIGET, HEMARE",/Transport_Pics/17.jpg
418,418,29-A,328-E,Kempegowda Bus Stand,VARTHUR,"MARATHAHALLI, SIDDAPURA, KODI",/Transport_Pics/18.jpg
419,419,29-A,328-M,Kempegowda Bus Stand,MADHURA NAGAR,"MARATHAHALLI, SIDDAPURA, VARTHUR",/Transport_Pics/19.jpg
420,420,29-B,334-C,Kempegowda Bus Stand,NAGASANDRA,"DOMLURU, N.A.L., GOLF CLUB",/Transport_Pics/20.jpg
421,421,29-B,334-D,Kempegowda Bus Stand,VARTHUR,"DOMLURU, HAL, MARATHAHALLI, KODI",/Transport_Pics/21.jpg
422,422,29-B,335-AA,Kempegowda Bus Stand,WHITEFIELD TTMC,"MARATHAHALLI, KUNDALAHALLI, GRAPHIT INDIA",/Transport_Pics/22.jpg
423,423,29-B,335-N,Kempegowda Bus Stand,KADUGODI,"DOMLURU, HAL, MARATHAHALLI, ITPL, HOPE FARM",/Transport_Pics/23.jpg
424,424,29-B,335-F,Kempegowda Bus Stand,LAL BAHADUR SHASTRI NAGAR,"DOMLURU, HAL",/Transport_Pics/24.jpg
425,425,29-B,336-B,Kempegowda Bus Stand,KEMPAPURA,"DOMLURU, HAL, YAMALURU",/Transport_Pics/25.jpg
426,426,29-B,KBS-1I,Kempegowda Bus Stand,KADUGODI,"DOMLURU, HAL, MARATHAHALLI, ITPL, VAIDEHI",/Transport_Pics/1.jpg
427,427,29-B,KBS-1K,Kempegowda Bus Stand,KADUGODI,"DOMLUR, MARATHAHALLI, SIDDAPURA, KODI, WHITEFIELD",/Transport_Pics/2.jpg
428,73,6-A,15-B,Kempegowda Bus Stand,BANASHANKARI 3RD STAGE,"KR MARKET, LALBAGH MAIN GATE, CHIKKALLASANDRA",/Transport_Pics/3.jpg
429,429,6-A,15-D,Kempegowda Bus Stand,BANASHANKARI,"KR MARKET, LALBAGH MAIN GATE, CHIKKALLASANDRA, KUMARSWAMY LAYOUT, MARUTHI NAGARA",/Transport_Pics/4.jpg
430,430,6-A,15-D,Kempegowda Bus Stand,BANASHANKARI,"KR MARKET, LALBAGH MAIN GATE, CHIKKALLASANDRA, KUMARSWAMY LAYOUT, MARUTHI NAGARA",/Transport_Pics/5.jpg
431,431,6-A,15-E,Kempegowda Bus Stand,KUMARSWAMY LAYOUT,"KR MARKET, LALBAGH MAIN GATE, CHIKKALLASANDRA, BANASHANKARI, MARUTHI NAGARA",/Transport_Pics/6.jpg
432,432,6-A,15-F,Kempegowda Bus Stand,KUMARSWAMY LAYOUT,"KR MARKET, LALBAGH MAIN GATE, CHIKKALLASANDRA, BANASHANKARI 3RD STAGE",/Transport_Pics/7.jpg
433,433,6-A,15-F,Kempegowda Bus Stand,KUMARSWAMY LAYOUT,"KR MARKET, LALBAGH MAIN GATE, CHIKKALLASANDRA, BANASHANKARI 3RD STAGE",/Transport_Pics/8.jpg
434,434,6-A,15-H,Kempegowda Bus Stand,KUMARSWAMY LAYOUT,"KR MARKET, LALBAGH MAIN GATE, CHIKKALLASANDRA, BANASHANKARI",/Transport_Pics/9.jpg
435,435,6-A,15-J,Kempegowda Bus Stand,CHIKKALLASANDRA,"KR MARKET, LALBAGH MAIN GATE, BANASHANKARI",/Transport_Pics/10.jpg
436,436,6-A,15-J,Kempegowda Bus Stand,CHIKKALLASANDRA,"KR MARKET, LALBAGH MAIN GATE, BANASHANKARI",/Transport_Pics/11.jpg
437,437,6-A,15-K,Kempegowda Bus Stand,CHIKKALLASANDRA,"KR MARKET, LALBAGH MAIN GATE, BANASHANKARI",/Transport_Pics/12.jpg
438,438,6-A,15-L,Kempegowda Bus Stand,CHIKKALLASANDRA,"KR MARKET, LALBAGH MAIN GATE, BANASHANKARI",/Transport_Pics/13.jpg
439,439,6-A,15-L,Kempegowda Bus Stand,CHIKKALLASANDRA,"KR MARKET, LALBAGH MAIN GATE, BANASHANKARI",/Transport_Pics/14.jpg
440,440,6-A,15-N,Kempegowda Bus Stand,CHIKKALLASANDRA,"KR MARKET, LALBAGH MAIN GATE, BANASHANKARI",/Transport_Pics/15.jpg
441,441,6-A,15-N,Kempegowda Bus Stand,CHIKKALLASANDRA,"KR MARKET, LALBAGH MAIN GATE, BANASHANKARI",/Transport_Pics/16.jpg
442,442,6-A,15-P,Kempegowda Bus Stand,BANASHANKARI,"KR MARKET, LALBAGH MAIN GATE, CHIKKALLASANDRA",/Transport_Pics/17.jpg
443,443,6-A,15-R,Kempegowda Bus Stand,BANASHANKARI,"KR MARKET, LALBAGH MAIN GATE, CHIKKALLASANDRA",/Transport_Pics/18.jpg
444,444,6-A,15-S,Kempegowda Bus Stand,BANASHANKARI,"KR MARKET, LALBAGH MAIN GATE, CHIKKALLASANDRA",/Transport_Pics/19.jpg
445,445,6-A,15-T,Kempegowda Bus Stand,BANASHANKARI,"KR MARKET, LALBAGH MAIN GATE, CHIKKALLASANDRA",/Transport_Pics/20.jpg
446,446,6-A,15-U,Kempegowda Bus Stand,BANASHANKARI,"KR MARKET, LALBAGH MAIN GATE, CHIKKALLASANDRA",/Transport_Pics/21.jpg
447,447,6-A,15-U,Kempegowda Bus Stand,BANASHANKARI,"KR MARKET, LALBAGH MAIN GATE, CHIKKALLASANDRA",/Transport_Pics/22.jpg
448,448,6-A,15-W,Kempegowda Bus Stand,CHIKKALLASANDRA,"KR MARKET, LALBAGH MAIN GATE, BANASHANKARI",/Transport_Pics/23.jpg
449,449,6-A,15-X,Kempegowda Bus Stand,BANASHANKARI,"KR MARKET, LALBAGH MAIN GATE, CHIKKALLASANDRA",/Transport_Pics/24.jpg
450,450,6-A,15-Y,Kempegowda Bus Stand,CHIKKALLASANDRA,"KR MARKET, LALBAGH MAIN GATE, BANASHANKARI",/Transport_Pics/25.jpg
451,451,6-A,15-Y,Kempegowda Bus Stand,CHIKKALLASANDRA,"KR MARKET, LALBAGH MAIN GATE, BANASHANKARI",/Transport_Pics/1.jpg
452,452,6-A,15-Z,Kempegowda Bus Stand,CHIKKALLASANDRA,"KR MARKET, LALBAGH MAIN GATE, BANASHANKARI",/Transport_Pics/2.jpg
453,453,6-A,15-Z,Kempegowda Bus Stand,CHIKKALLASANDRA,"KR MARKET, LALBAGH MAIN GATE, BANASHANKARI",/Transport_Pics/3.jpg
454,454,6-A,79-C,Kempegowda Bus Stand,RAJARAJESHWARI NAGARA,"KR MARKET, LALBAGH MAIN GATE, VIJAYA COLLEGE",/Transport_Pics/4.jpg
455,455,6-A,79-D,Kempegowda Bus Stand,RAJARAJESHWARI NAGARA,"KR MARKET, LALBAGH MAIN GATE, VIJAYA COLLEGE",/Transport_Pics/5.jpg
456,456,6-A,79-D,Kempegowda Bus Stand,RAJARAJESHWARI NAGARA,"KR MARKET, LALBAGH MAIN GATE, VIJAYA COLLEGE",/Transport_Pics/6.jpg
457,457,6-A,79-E,Kempegowda Bus Stand,RAJARAJESHWARI NAGARA,"KR MARKET, LALBAGH MAIN GATE, VIJAYA COLLEGE",/Transport_Pics/7.jpg
458,458,6-A,79-E,Kempegowda Bus Stand,RAJARAJESHWARI NAGARA,"KR MARKET, LALBAGH MAIN GATE, VIJAYA COLLEGE",/Transport_Pics/8.jpg
459,73,6-A,288,Kempegowda Bus Stand,HEBBAL,"KRISHNA DEVARAYA NAGARA, BEL CIRCLE, L&T",/Transport_Pics/9.jpg
460,74,6-A,288-A,Kempegowda Bus Stand,HEBBAL,"KRISHNA DEVARAYA NAGARA, BEL CIRCLE, L&T, MANYATA TECH PARK",/Transport_Pics/10.jpg
461,75,6-A,288-B,Kempegowda Bus Stand,HEBBAL,"KRISHNA DEVARAYA NAGARA, BEL CIRCLE, L&T, MANYATA TECH PARK, NAGAWARA JUNCTION",/Transport_Pics/11.jpg
462,76,6-A,288-C,Kempegowda Bus Stand,HEBBAL,"KRISHNA DEVARAYA NAGARA, BEL CIRCLE, L&T,NAGAWARA JUNCTION, HEBBAL",/Transport_Pics/12.jpg
463,77,6-A,288-D,Kempegowda Bus Stand,HEBBAL,"KRISHNA DEVARAYA NAGARA, HEBBAL, HEBBAL BRIDGE",/Transport_Pics/13.jpg
464,78,6-A,288-E,Kempegowda Bus Stand,HEBBAL,"KRISHNA DEVARAYA NAGARA, KALYAN NAGAR",/Transport_Pics/14.jpg
465,79,6-A,288-F,Kempegowda Bus Stand,HEBBAL,"KRISHNA DEVARAYA NAGARA, BEL CIRCLE, L&T,KALYAN NAGAR, KAMANAHALLI",/Transport_Pics/15.jpg
466,80,6-A,288-G,Kempegowda Bus Stand,HEBBAL,"KRISHNA DEVARAYA NAGARA, BEL CIRCLE, L&T,HORAMAVU AGARA",/Transport_Pics/16.jpg
467,81,6-A,288-H,Kempegowda Bus Stand,HEBBAL,"KRISHNA DEVARAYA NAGARA, BEL CIRCLE, L&T, MANYATA TECH PARK",/Transport_Pics/17.jpg
468,82,6-A,288-J,Kempegowda Bus Stand,HEBBAL,"KRISHNA DEVARAYA NAGARA, BEL CIRCLE, L&T,HORAMAVU RAILWAY CROSS, BABUSA PALYA",/Transport_Pics/18.jpg
469,83,6-A,288-K,Kempegowda Bus Stand,HEBBAL,"HORAMAVU RAILWAY CROSS, BABUSA PALYA, NAGAWARA VEERANAPALYA",/Transport_Pics/19.jpg
470,84,6-A,288-L,Kempegowda Bus Stand,HEBBAL,"BEL CIRCLE, L&T, MANYATA TECH PARK, NAGAWARA JUNCTION, HEBBAL,NAGAWARA VEERANAPALYA, TANNERY ROAD",/Transport_Pics/20.jpg
471,85,6-A,288-M,Kempegowda Bus Stand,HEBBAL,"KRISHNA DEVARAYA NAGARA,MANYATA TECH PARK, NAGAWARA JUNCTION,TANNERY ROAD, HENNURU CROSS",/Transport_Pics/21.jpg
472,86,6-A,288-N,Kempegowda Bus Stand,HEBBAL,"KRISHNA DEVARAYA NAGARA, BEL CIRCLE,NAGAWARA JUNCTION, HEBBAL,HENNURU CROSS, HENNUR",/Transport_Pics/22.jpg
473,87,6-A,288-P,Kempegowda Bus Stand,HEBBAL,"KRISHNA DEVARAYA NAGARA,HORAMAVU RAILWAY CROSS, HENNUR, BAGALUR CROSS",/Transport_Pics/23.jpg
474,88,6-A,288-Q,Kempegowda Bus Stand,HEBBAL,"KRISHNA DEVARAYA NAGARA, BEL CIRCLE, L&T, MANYATA TECH PARK, BAGALUR CROSS, BAGALUR",/Transport_Pics/24.jpg
475,89,6-A,288-R,Kempegowda Bus Stand,HEBBAL,"BEL CIRCLE, MANYATA TECH PARK,KALYAN NAGAR, KAMANAHALLI,HORAMAVU RAILWAY CROSS",/Transport_Pics/25.jpg
476,1,6-A,285,electronic city,ELECTRONIC CITY,"Jayanagar 4th Block, Jayanagar 3rd Block, BTM Layout, Silk Board",/Transport_Pics/1.jpg
477,2,6-A,285-A,electronic city,ELECTRONIC CITY,"Jayanagar 4th Block, Jayanagar 3rd Block, BTM Layout, Silk Board, Madiwala, Bommanahalli",/Transport_Pics/2.jpg
478,3,6-A,285-B,electronic city,ELECTRONIC CITY,"Jayanagar 4th Block, Jayanagar 3rd Block, BTM Layout, Silk Board, Madiwala, Bommanahalli, Hosur Road",/Transport_Pics/3.jpg
479,4,6-A,285-C,electronic city,ELECTRONIC CITY,"Jayanagar 4th Block, Jayanagar 3rd Block, Electronic City Phase-1",/Transport_Pics/4.jpg
480,5,6-A,285-D,electronic city,ELECTRONIC CITY,"BTM Layout, Silk Board, Madiwala, Electronic City Phase-1, Electronic City Phase-2",/Transport_Pics/5.jpg
481,1,6-A,500-A,BANASHANKARI TTMC,HEBBAL TTMC,"Kengeri Satellite Town,Abbigere Cross, Mother Dairy Cross, BEL Circle, Hebbal TTMC",/Transport_Pics/6.jpg
482,2,6-A,500-B,BANASHANKARI TTMC,HEBBAL TTMC,"Kengeri Satellite Town, Kengeri TTMC,Peenya 2nd Stage",/Transport_Pics/7.jpg
483,3,6-A,500-C,BANASHANKARI TTMC,HEBBAL TTMC,"Kengeri Satellite Town, Kengeri TTMC, Kengeri Upanagara, Nice Road, Gorguntepalya",/Transport_Pics/8.jpg
484,4,6-A,500-D,BANASHANKARI TTMC,HEBBAL TTMC,"Kengeri Satellite Town,GKVK Campus, Hebbala Flyover, Hebbala",/Transport_Pics/9.jpg
485,5,6-A,500-E,BANASHANKARI TTMC,HEBBAL TTMC,"Kengeri Satellite Town, Gorguntepalya, Peenya 2nd Stage, Hebbala, Esteem Mall",/Transport_Pics/10.jpg
486,6,6-A,500-F,BANASHANKARI TTMC,MEKRI CIRCLE,"Kengeri Satellite Town, Hebbala, Esteem Mal,Kammanahalli, Banaswadi",/Transport_Pics/11.jpg
487,7,6-A,500-G,BANASHANKARI TTMC,MEKRI CIRCLE,"Kengeri Satellite Town, Kengeri TTMC,Peenya 2nd Stage, Jalahalli Cross",/Transport_Pics/12.jpg
488,1,7,328B,K R Market,WHITEFIELD,"Johnson Market, Richmond Circle, Ashirvad Colony, Domlur, Marathahalli, Kundanahalli Gate",/Transport_Pics/13.jpg
489,2,7,328C,K R Market,WHITEFIELD,"Johnson Market, Richmond Circle,Marathahalli Bridge, Kundanahalli Gate",/Transport_Pics/14.jpg
490,3,7,328E,K R Market,WHITEFIELD,"Johnson Market, Richmond Circle",/Transport_Pics/15.jpg
491,4,7,328F,K R Market,WHITEFIELD,"Johnson Market, Richmond Circle, Ashirvad Colony, Domlur, Marathahalli Bridge, Kundanahalli Gate",/Transport_Pics/16.jpg
492,5,7,328G,K R Market,WHITEFIELD,"Johnson Market, Richmond Circle, Vydehi Hospital",/Transport_Pics/17.jpg
493,6,7,328H,K R Market,WHITEFIELD,"Johnson Market, Richmond Circle, Hope Farm Signal",/Transport_Pics/18.jpg
494,7,7,328J,K R Market,WHITEFIELD,"Johnson Market,Kundanahalli Gate, Vydehi Hospital, Nallurhalli",/Transport_Pics/19.jpg
495,8,7,328K,K R Market,WHITEFIELD,"Johnson Market, Richmond Circle, Ashirvad Colony,Nallurhalli",/Transport_Pics/20.jpg
496,9,7,328L,K R Market,WHITEFIELD,"Kundanahalli Gate, Vydehi Hospital, Hope Farm Signal",/Transport_Pics/21.jpg
497,10,7,328M,K R Market,WHITEFIELD,"Johnson Market, Richmond Circle,Siddapura",/Transport_Pics/22.jpg
498,11,7,328N,K R Market,WHITEFIELD,"Johnson Market, Richmond Circle, Marathahalli, Vydehi Hospital, Siddapura, Graphite India",/Transport_Pics/23.jpg
499,12,7,328P,K R Market,WHITEFIELD," Marathahalli, Marathahalli Bridge,Siddapura, Graphite India, Dalmia Circle",/Transport_Pics/24.jpg
